case_id,case_type,country,processing_stage,office_id,office_load,priority,document_complexity,documents_missing,client_response_delay_days,reassignment_count,days_in_stage,sla_target_days,total_processing_days,sla_breach
28,Relocation,DE,Government Review,102,42,Normal,Medium,3,2,1,22,35,64.8,True
29,Relocation,CA,Documentation,104,62,Normal,Low,1,20,0,12,35,46.6,True
30,Work Permit,UK,Documentation,118,87,Normal,Medium,4,20,1,6,45,70.6,True
31,Visa Renewal,US,Decision,106,62,Normal,Low,2,29,1,6,30,71.7,True
32,PR Application,US,Documentation,108,45,Normal,Medium,5,6,1,27,90,72.3,False
33,Payroll,US,Government Review,106,60,Normal,Medium,5,10,0,19,14,62.7,True
34,Work Permit,DE,Documentation,117,89,Normal,Medium,3,16,1,6,45,60.3,True
35,Payroll,US,Decision,103,50,Urgent,Low,2,24,1,17,7,60.2,True
36,Relocation,UK,Intake,113,36,Normal,Medium,2,17,1,29,35,58.8,True
37,Relocation,AU,Decision,117,28,Normal,Medium,2,24,2,23,35,78.0,True
38,Relocation,CA,Government Review,108,110,Normal,Low,6,8,3,17,35,82.1,True
39,Work Permit,CA,Documentation,101,74,Normal,Medium,5,12,2,21,45,71.7,True
40,Work Permit,CA,Government Review,119,25,Normal,High,4,28,1,10,45,94.1,True
41,PR Application,CA,Documentation,114,89,Normal,Low,3,29,1,43,90,97.2,True
42,Visa Renewal,CA,Documentation,106,83,Normal,Low,2,14,1,8,30,45.8,True
43,Payroll,UK,Submission,111,23,Normal,Low,2,18,0,14,14,55.6,True
44,Relocation,AU,Intake,107,126,Normal,Medium,1,14,2,31,35,65.4,True
45,Work Permit,AU,Closure,114,86,Normal,High,2,6,1,18,45,64.2,True
46,Tax,AU,Intake,102,107,Urgent,Medium,1,2,1,30,14,42.7,True
47,Visa Renewal,AU,Government Review,113,75,Normal,Low,3,23,3,18,30,86.1,True
48,Relocation,CA,Submission,116,37,Normal,Medium,3,7,1,25,35,56.0,True
49,Tax,UK,Government Review,103,51,Normal,Medium,3,12,4,37,21,96.3,True
50,Payroll,AU,Submission,117,104,Urgent,Medium,1,15,2,25,7,64.1,True
51,Tax,CA,Government Review,107,67,Urgent,Low,5,2,2,30,14,72.2,True
52,PR Application,AU,Government Review,103,48,Normal,Medium,5,20,1,30,90,101.8,True
53,PR Application,CA,Government Review,101,51,Urgent,Low,6,30,0,36,83,112.3,True
54,Payroll,UK,Intake,105,44,Normal,Low,4,22,1,11,14,46.2,True
55,Visa Renewal,UK,Government Review,109,95,Urgent,Medium,6,0,1,39,23,79.0,True
56,Work Permit,AU,Documentation,103,129,Normal,High,4,2,1,27,45,60.4,True
57,Visa Renewal,US,Intake,117,82,Normal,Low,6,15,1,16,30,59.1,True
58,Work Permit,DE,Submission,111,28,Normal,High,5,0,2,38,45,77.3,True
59,PR Application,CA,Submission,101,90,Normal,Low,6,17,5,32,90,106.1,True
60,PR Application,US,Submission,109,33,Normal,Medium,5,13,0,29,90,78.6,False
61,PR Application,DE,Government Review,103,39,Normal,Low,2,29,1,10,90,88.5,False
62,Work Permit,UK,Documentation,113,103,Normal,Low,3,6,3,30,45,70.8,True
63,Tax,UK,Documentation,115,29,Normal,Medium,5,22,3,11,21,90.2,True
64,Visa Renewal,CA,Intake,114,30,Normal,Medium,0,2,0,15,30,30.1,True
65,PR Application,CA,Government Review,107,58,Urgent,Medium,5,30,2,44,83,122.6,True
66,Relocation,UK,Government Review,113,38,Urgent,Medium,2,28,1,23,28,85.3,True
67,Visa Renewal,CA,Documentation,107,38,Urgent,Medium,5,21,1,23,23,78.4,True
68,Work Permit,US,Government Review,115,62,Normal,High,4,15,0,7,45,83.9,True
69,Work Permit,AU,Government Review,112,80,Normal,Medium,4,28,5,14,45,105.3,True
70,Tax,CA,Submission,117,89,Normal,Low,6,5,2,9,21,57.3,True
71,Payroll,DE,Government Review,114,91,Normal,Low,3,17,1,28,14,78.9,True
72,PR Application,CA,Government Review,112,84,Normal,Low,1,28,3,6,90,97.4,True
73,Work Permit,CA,Government Review,108,42,Normal,Medium,2,24,1,43,45,89.5,True
74,Relocation,CA,Documentation,114,123,Urgent,Low,1,12,2,45,28,75.9,True
75,Tax,CA,Intake,112,120,Normal,Low,4,23,2,22,21,65.4,True
76,Tax,CA,Documentation,100,79,Urgent,Low,6,1,0,18,14,46.1,True
77,Work Permit,CA,Government Review,106,29,Normal,Medium,3,11,2,44,45,82.6,True
78,Work Permit,CA,Decision,108,82,Normal,Low,4,3,0,38,45,62.8,True
79,Tax,US,Submission,100,21,Normal,Low,3,8,1,22,21,41.0,True
80,Visa Renewal,CA,Documentation,111,55,Normal,Medium,5,19,2,9,30,72.5,True
81,Visa Renewal,US,Decision,107,76,Urgent,Medium,0,22,3,18,23,72.6,True
82,Work Permit,US,Decision,110,85,Normal,Low,1,4,2,21,45,54.8,True
83,Relocation,AU,Decision,118,98,Normal,Medium,2,9,0,15,35,60.8,True
84,Tax,UK,Government Review,116,39,Normal,Low,3,5,5,9,21,61.6,True
85,Payroll,UK,Decision,107,61,Normal,High,5,0,1,42,14,75.9,True
86,Relocation,CA,Intake,102,40,Normal,Low,5,19,0,2,35,52.2,True
87,Relocation,AU,Intake,102,113,Normal,High,6,4,0,14,35,59.2,True
88,Work Permit,UK,Intake,100,107,Normal,High,6,5,3,21,45,77.2,True
89,Relocation,DE,Government Review,104,85,Normal,Medium,0,21,3,43,35,103.0,True
90,Visa Renewal,CA,Intake,109,57,Normal,Low,5,20,1,45,30,71.4,True
91,PR Application,AU,Submission,106,105,Urgent,Medium,5,18,0,34,83,83.8,True
92,Visa Renewal,DE,Submission,108,112,Urgent,Low,0,10,1,7,23,42.7,True
93,Visa Renewal,AU,Documentation,106,97,Normal,High,1,14,4,15,30,83.9,True
94,Work Permit,US,Decision,108,88,Normal,Medium,5,1,1,39,45,72.5,True
95,Visa Renewal,US,Documentation,107,43,Normal,High,3,14,1,12,30,69.0,True
96,Work Permit,US,Submission,111,45,Urgent,Medium,2,6,2,7,38,50.7,True
97,Work Permit,US,Decision,101,21,Normal,Medium,2,16,1,5,45,63.7,True
98,Payroll,AU,Intake,100,65,Urgent,Medium,2,11,2,39,7,59.5,True
99,Relocation,US,Government Review,115,128,Normal,Low,4,11,0,23,35,67.2,True
100,Relocation,US,Decision,104,53,Normal,Medium,6,4,1,28,35,74.1,True
101,Tax,US,Closure,102,81,Normal,Medium,4,19,2,34,21,77.5,True
102,Payroll,US,Decision,111,106,Normal,High,3,6,2,25,14,67.9,True
103,PR Application,US,Documentation,107,60,Normal,Medium,6,1,0,2,90,60.6,False
104,Tax,DE,Government Review,102,118,Normal,High,5,26,2,9,21,103.7,True
105,Visa Renewal,UK,Intake,100,34,Normal,High,5,12,1,34,30,69.8,True
106,Visa Renewal,US,Documentation,102,74,Normal,Medium,6,23,2,32,30,89.3,True
107,Relocation,CA,Intake,104,22,Urgent,Low,2,8,0,12,28,29.8,True
108,PR Application,CA,Documentation,114,95,Normal,Medium,0,28,2,19,90,93.5,True
109,Tax,US,Decision,113,57,Urgent,Low,5,14,1,38,14,68.8,True
110,Visa Renewal,UK,Documentation,102,70,Urgent,Low,2,27,0,10,23,54.7,True
111,Work Permit,UK,Government Review,100,36,Urgent,Low,3,25,3,10,38,83.4,True
112,PR Application,UK,Submission,104,121,Normal,High,2,14,2,35,90,92.3,True
113,Work Permit,UK,Submission,113,110,Urgent,Low,1,0,2,41,38,41.4,True
114,Relocation,US,Closure,106,102,Normal,Medium,2,20,3,37,35,80.5,True
115,Tax,AU,Documentation,108,68,Normal,Medium,5,19,1,32,21,82.9,True
116,Tax,DE,Government Review,114,40,Normal,Medium,6,20,2,7,21,84.0,True
117,Tax,AU,Submission,114,123,Normal,Medium,5,24,0,10,21,77.3,True
118,Tax,US,Intake,109,107,Urgent,Medium,0,30,0,43,14,74.0,True
119,Relocation,AU,Submission,112,43,Normal,Low,3,27,1,38,35,74.0,True
120,Tax,DE,Decision,118,102,Normal,Low,6,2,2,27,21,61.1,True
121,PR Application,DE,Intake,106,114,Normal,High,6,29,0,32,90,100.5,True
122,Work Permit,US,Intake,116,59,Urgent,Low,6,0,1,7,38,47.0,True
123,Work Permit,DE,Documentation,119,39,Normal,Medium,3,26,0,26,45,80.6,True
124,Visa Renewal,AU,Decision,103,98,Normal,Medium,0,18,1,22,30,66.3,True
125,Relocation,UK,Government Review,104,123,Normal,Low,3,19,1,12,35,67.7,True
126,PR Application,UK,Government Review,106,54,Normal,High,2,12,1,24,90,94.5,True
127,Tax,AU,Submission,112,67,Normal,Medium,3,14,1,29,21,60.6,True
128,Work Permit,CA,Decision,114,118,Normal,Low,2,12,2,32,45,70.8,True
129,Work Permit,UK,Decision,110,52,Urgent,High,3,17,1,16,38,70.6,True
130,Payroll,CA,Decision,103,123,Normal,Medium,5,16,2,26,14,79.4,True
131,Work Permit,AU,Decision,112,75,Normal,Medium,2,0,4,6,45,60.3,True
132,Relocation,US,Government Review,106,60,Normal,Medium,2,14,2,1,35,58.3,True
133,PR Application,CA,Submission,118,73,Urgent,Low,5,23,1,13,83,87.5,True
134,Relocation,UK,Decision,101,63,Urgent,Medium,0,3,2,38,28,59.5,True
135,Work Permit,DE,Closure,109,101,Normal,Low,0,27,2,6,45,64.8,True
136,Work Permit,UK,Intake,112,100,Urgent,Medium,5,1,0,38,38,61.3,True
137,Work Permit,AU,Intake,105,91,Normal,Medium,4,25,1,12,45,74.1,True
138,PR Application,AU,Closure,111,103,Normal,High,0,18,0,9,90,75.6,False
139,Relocation,US,Documentation,111,30,Normal,Medium,2,7,1,20,35,48.0,True
140,Visa Renewal,CA,Decision,119,113,Normal,Low,6,21,0,39,30,78.6,True
141,PR Application,US,Submission,110,110,Normal,High,2,15,2,27,90,82.1,False
142,Tax,CA,Intake,106,122,Normal,Medium,3,7,0,3,21,42.6,True
143,Work Permit,CA,Intake,100,33,Urgent,Medium,3,9,4,24,38,72.2,True
144,Relocation,AU,Documentation,100,61,Normal,Low,4,15,0,15,35,50.6,True
145,Tax,DE,Documentation,119,98,Normal,High,2,4,0,34,21,62.7,True
146,Visa Renewal,US,Submission,112,31,Normal,High,4,18,0,32,30,63.0,True
147,Visa Renewal,US,Government Review,108,103,Normal,Medium,2,5,1,21,30,66.2,True
148,PR Application,UK,Closure,102,36,Urgent,High,0,9,2,1,83,66.3,False
149,Payroll,CA,Submission,106,123,Normal,Low,3,23,0,33,14,68.3,True
150,Tax,US,Government Review,105,109,Urgent,High,5,29,0,11,14,93.9,True
151,PR Application,AU,Government Review,107,97,Normal,Medium,5,4,3,3,90,75.8,False
152,Tax,AU,Government Review,108,44,Normal,Low,6,20,2,22,21,77.0,True
153,Visa Renewal,CA,Government Review,104,45,Normal,Medium,4,18,0,10,30,76.3,True
154,PR Application,AU,Intake,100,66,Normal,Medium,1,18,1,44,90,84.3,False
155,Relocation,CA,Intake,118,44,Normal,Low,5,12,6,38,35,78.3,True
156,Work Permit,DE,Intake,109,108,Normal,Low,6,27,0,24,45,78.4,True
157,Tax,CA,Intake,111,79,Normal,Low,2,14,1,7,21,39.1,True
158,Relocation,US,Government Review,114,79,Normal,Low,0,7,1,36,35,69.4,True
159,Visa Renewal,AU,Documentation,108,46,Normal,Low,1,10,0,1,30,34.8,True
160,Payroll,CA,Decision,119,62,Normal,Low,0,30,0,1,14,56.7,True
161,Work Permit,DE,Closure,116,95,Normal,Low,0,0,0,26,45,31.4,False
162,Visa Renewal,CA,Closure,116,39,Normal,High,2,3,3,17,30,56.1,True
163,Work Permit,US,Closure,119,82,Normal,Medium,0,24,0,11,45,65.9,True
164,Tax,US,Documentation,111,99,Normal,Low,4,21,0,3,21,54.4,True
165,Tax,CA,Government Review,106,44,Urgent,High,1,21,1,10,14,80.9,True
166,Visa Renewal,UK,Documentation,101,46,Urgent,Medium,0,29,2,2,23,63.7,True
167,PR Application,CA,Decision,102,71,Normal,Medium,5,25,3,32,90,101.0,True
168,Visa Renewal,UK,Decision,116,101,Normal,Medium,5,26,2,16,30,88.6,True
169,Tax,UK,Decision,104,29,Normal,Low,0,26,1,26,21,69.2,True
170,Relocation,UK,Submission,116,69,Normal,Low,3,12,3,40,35,70.3,True
171,Relocation,CA,Decision,116,49,Urgent,Low,3,6,1,39,28,61.2,True
172,Payroll,AU,Intake,116,20,Urgent,Medium,4,26,1,10,7,68.5,True
173,Visa Renewal,CA,Intake,101,73,Urgent,Medium,5,6,0,36,23,51.8,True
174,Work Permit,CA,Decision,101,23,Normal,Medium,3,5,1,30,45,51.2,True
175,PR Application,US,Submission,104,106,Urgent,Low,0,24,1,9,83,70.0,False
176,Payroll,CA,Closure,100,26,Normal,Medium,5,7,2,5,14,53.9,True
177,Visa Renewal,US,Intake,100,49,Urgent,Medium,0,11,3,7,23,45.9,True
178,Work Permit,UK,Decision,118,109,Normal,High,1,23,3,36,45,104.4,True
179,Visa Renewal,US,Submission,101,84,Normal,Low,5,17,0,1,30,53.0,True
180,Relocation,CA,Decision,111,48,Normal,High,3,22,0,27,35,88.8,True
181,Work Permit,DE,Decision,105,44,Normal,Medium,2,14,1,12,45,75.3,True
182,PR Application,CA,Closure,103,59,Normal,Medium,3,27,1,16,90,87.1,False
183,Payroll,US,Documentation,110,45,Urgent,Medium,0,15,1,8,7,41.1,True
184,Relocation,US,Closure,116,36,Normal,Low,1,0,2,25,35,27.5,False
185,Visa Renewal,DE,Documentation,105,50,Normal,High,3,9,2,13,30,69.2,True
186,Relocation,US,Intake,104,80,Normal,Low,1,14,4,41,35,73.9,True
187,Work Permit,CA,Submission,119,27,Normal,Medium,3,23,2,10,45,72.5,True
188,Payroll,CA,Decision,101,88,Urgent,Low,4,12,0,40,7,57.5,True
189,Relocation,UK,Submission,105,20,Normal,Low,0,18,2,33,35,53.4,True
190,Visa Renewal,UK,Decision,110,98,Normal,Medium,0,26,3,35,30,92.5,True
191,PR Application,DE,Government Review,115,119,Urgent,High,2,12,1,37,83,112.4,True
192,Relocation,US,Documentation,115,90,Urgent,Medium,0,8,0,39,28,54.8,True
193,PR Application,US,Closure,100,65,Normal,High,2,30,0,28,90,96.7,True
194,Work Permit,US,Intake,108,127,Normal,Medium,0,20,2,16,45,80.8,True
195,Tax,US,Decision,105,110,Normal,Low,6,15,0,8,21,61.2,True
196,Payroll,US,Documentation,115,118,Normal,Low,3,22,1,33,14,70.9,True
197,PR Application,CA,Government Review,102,110,Normal,Medium,3,13,0,35,90,92.8,True
198,Payroll,CA,Submission,119,39,Urgent,Low,4,22,2,38,7,68.5,True
199,Work Permit,UK,Documentation,103,101,Normal,Medium,3,8,2,12,45,72.5,True
200,Relocation,CA,Submission,118,59,Normal,Low,6,17,0,15,35,58.3,True
201,PR Application,UK,Documentation,102,21,Normal,Low,1,3,0,17,90,47.7,False
202,PR Application,CA,Documentation,118,113,Normal,Medium,6,11,1,27,90,78.7,False
203,Relocation,US,Documentation,119,80,Urgent,Medium,3,23,2,21,28,79.0,True
204,Visa Renewal,CA,Submission,106,121,Normal,Low,2,4,4,21,30,54.0,True
205,Work Permit,US,Decision,119,113,Normal,Low,5,10,1,17,45,67.9,True
206,Visa Renewal,US,Government Review,108,90,Normal,Low,4,4,4,27,30,67.6,True
207,Work Permit,CA,Decision,100,122,Normal,Low,5,18,1,12,45,77.1,True
208,Tax,AU,Government Review,107,96,Urgent,Medium,5,20,0,44,14,87.0,True
209,Work Permit,UK,Government Review,106,116,Normal,Medium,1,28,1,36,45,106.2,True
210,Work Permit,US,Government Review,117,123,Normal,Low,6,6,0,28,45,80.1,True
211,Relocation,DE,Submission,107,49,Normal,Low,1,3,4,25,35,58.9,True
212,PR Application,DE,Government Review,100,49,Normal,Low,0,7,0,9,90,52.5,False
213,Tax,UK,Intake,110,106,Normal,Low,6,29,1,37,21,79.6,True
214,Relocation,DE,Decision,117,64,Normal,Medium,2,26,1,23,35,76.1,True
215,Visa Renewal,CA,Decision,109,43,Urgent,Low,5,5,1,11,23,45.4,True
216,Tax,US,Documentation,102,103,Normal,Low,3,5,4,1,21,63.6,True
217,Relocation,CA,Decision,106,111,Normal,Medium,3,21,4,16,35,86.9,True
218,Work Permit,CA,Intake,115,75,Urgent,Low,6,3,2,13,38,48.3,True
219,Relocation,CA,Documentation,115,102,Urgent,Medium,0,13,2,20,28,60.4,True
220,Payroll,UK,Intake,119,80,Urgent,Medium,3,30,1,16,7,69.0,True
221,Visa Renewal,AU,Decision,116,32,Urgent,Low,6,2,0,16,23,50.1,True
222,Visa Renewal,AU,Decision,101,99,Normal,Medium,1,9,1,35,30,57.4,True
223,Work Permit,AU,Decision,100,75,Normal,Medium,3,21,0,32,45,78.5,True
224,Work Permit,DE,Intake,115,34,Normal,Medium,5,5,0,23,45,55.0,True
225,Relocation,AU,Government Review,111,30,Normal,Medium,3,17,0,25,35,66.2,True
226,PR Application,US,Government Review,104,31,Urgent,Medium,1,29,1,43,83,95.5,True
227,Work Permit,US,Documentation,104,105,Normal,High,2,9,3,28,45,81.1,True
228,Payroll,CA,Government Review,108,108,Normal,Medium,5,8,2,45,14,91.6,True
229,Tax,DE,Intake,108,22,Urgent,High,2,15,0,2,14,57.9,True
230,PR Application,CA,Documentation,102,43,Normal,Low,1,19,1,3,90,59.6,False
231,Tax,DE,Submission,118,108,Normal,Medium,1,3,0,31,21,58.1,True
232,Work Permit,US,Government Review,115,28,Normal,Low,5,25,3,33,45,93.7,True
233,Relocation,US,Intake,115,111,Normal,Low,4,28,0,33,35,73.0,True
234,PR Application,DE,Documentation,102,65,Normal,Medium,4,27,2,35,90,103.5,True
235,Tax,US,Documentation,119,113,Urgent,Medium,3,10,2,36,14,76.4,True
236,Tax,CA,Documentation,100,90,Normal,Low,5,27,0,26,21,70.6,True
237,Visa Renewal,US,Documentation,119,79,Urgent,Medium,5,11,1,12,23,61.6,True
238,Payroll,CA,Submission,110,30,Normal,Medium,6,23,1,44,14,72.7,True
239,Work Permit,UK,Government Review,116,29,Normal,Low,6,18,1,11,45,78.0,True
240,Tax,CA,Submission,107,22,Normal,Low,3,9,3,6,21,52.6,True
241,Payroll,UK,Decision,103,38,Normal,Low,4,6,1,25,14,56.5,True
242,Work Permit,US,Government Review,105,21,Urgent,Low,6,6,4,34,38,75.2,True
243,Tax,DE,Intake,107,36,Normal,Medium,3,17,2,35,21,66.5,True
244,Work Permit,CA,Intake,119,112,Urgent,Low,2,2,2,21,38,53.9,True
245,Relocation,UK,Decision,102,21,Urgent,Low,2,30,1,18,28,73.4,True
246,Relocation,UK,Intake,115,72,Urgent,Medium,6,11,1,8,28,61.0,True
247,PR Application,US,Intake,102,35,Normal,Medium,0,13,3,34,90,73.3,False
248,Payroll,AU,Intake,117,29,Urgent,Low,4,19,1,14,7,54.6,True
249,PR Application,UK,Government Review,113,87,Normal,Low,2,1,1,19,90,69.5,False
250,Relocation,CA,Government Review,117,62,Normal,Low,6,29,1,20,35,87.3,True
251,Tax,US,Closure,101,109,Normal,Medium,0,8,0,4,21,43.9,True
252,Payroll,AU,Decision,102,77,Urgent,High,1,9,2,38,7,67.5,True
253,Work Permit,DE,Submission,115,79,Normal,Medium,6,26,1,32,45,97.4,True
254,Payroll,US,Submission,108,43,Normal,Low,5,5,2,26,14,47.8,True
255,Work Permit,CA,Documentation,103,95,Normal,Medium,2,16,2,28,45,77.5,True
256,Tax,DE,Documentation,100,104,Normal,Low,0,14,1,12,21,51.8,True
257,Visa Renewal,UK,Intake,103,125,Normal,Low,3,0,3,10,30,45.5,True
258,Work Permit,DE,Intake,100,35,Urgent,Low,6,23,2,41,38,87.9,True
259,Relocation,CA,Intake,113,119,Normal,Medium,5,26,3,35,35,96.3,True
260,PR Application,UK,Documentation,115,118,Urgent,Medium,0,21,3,33,83,94.5,True
261,Visa Renewal,CA,Documentation,119,28,Normal,Medium,2,12,1,14,30,62.2,True
262,Work Permit,US,Closure,107,25,Urgent,Medium,3,9,2,40,38,69.2,True
263,PR Application,UK,Government Review,106,127,Normal,Low,6,11,1,23,90,87.6,False
264,Payroll,AU,Closure,102,84,Normal,Low,3,22,1,18,14,48.4,True
265,Visa Renewal,CA,Submission,116,97,Normal,Medium,0,21,0,44,30,69.0,True
266,Work Permit,CA,Submission,100,43,Normal,Medium,6,15,3,12,45,81.3,True
267,Relocation,UK,Documentation,115,29,Urgent,Medium,0,1,3,42,28,62.6,True
268,Work Permit,CA,Documentation,111,101,Normal,Low,2,2,0,36,45,58.3,True
269,Tax,DE,Intake,118,128,Urgent,Medium,3,7,1,25,14,55.8,True
270,Tax,DE,Closure,113,92,Urgent,Low,4,19,2,37,14,72.4,True
271,PR Application,US,Closure,105,46,Normal,Medium,6,28,0,40,90,93.6,True
272,Visa Renewal,AU,Intake,105,102,Normal,Medium,0,14,0,22,30,53.4,True
273,Tax,DE,Documentation,112,119,Normal,High,4,23,0,6,21,83.7,True
274,Relocation,AU,Submission,118,22,Normal,Low,6,18,1,16,35,72.6,True
275,Tax,UK,Documentation,107,57,Normal,Medium,4,17,4,23,21,90.0,True
276,PR Application,AU,Submission,101,92,Urgent,Medium,6,22,4,9,83,108.5,True
277,Tax,US,Intake,100,93,Normal,Low,6,0,0,43,21,53.3,True
278,PR Application,CA,Submission,114,92,Normal,Low,3,26,2,35,90,89.4,False
279,Relocation,AU,Documentation,100,36,Normal,Medium,2,18,1,29,35,70.5,True
280,Payroll,US,Submission,104,125,Normal,Low,4,1,0,14,14,44.4,True
281,Relocation,US,Intake,115,121,Urgent,Low,2,4,2,5,28,45.5,True
282,PR Application,DE,Submission,118,67,Urgent,High,0,17,1,21,83,77.2,False
283,Visa Renewal,DE,Closure,103,68,Normal,Medium,3,15,2,6,30,58.7,True
284,PR Application,US,Documentation,102,62,Urgent,Low,1,9,0,1,83,55.1,False
285,Relocation,AU,Decision,116,103,Normal,Medium,3,20,0,31,35,76.8,True
286,Work Permit,UK,Decision,116,26,Normal,Medium,1,28,2,45,45,88.8,True
287,Work Permit,CA,Closure,111,87,Normal,Medium,5,2,1,41,45,62.0,True
288,PR Application,DE,Decision,113,93,Urgent,Medium,6,24,2,28,83,101.9,True
289,Tax,CA,Government Review,105,40,Normal,Medium,0,9,1,3,21,51.3,True
290,Relocation,US,Decision,102,97,Normal,Low,2,24,2,38,35,80.1,True
291,Visa Renewal,US,Intake,108,44,Normal,Medium,0,23,2,23,30,59.9,True
292,PR Application,CA,Submission,104,100,Normal,Low,3,12,3,40,90,78.0,False
293,Work Permit,CA,Closure,116,80,Urgent,Low,1,20,2,4,38,55.4,True
294,Relocation,DE,Decision,113,47,Normal,Medium,5,9,2,6,35,69.7,True
295,Work Permit,DE,Closure,102,97,Normal,Low,1,10,2,12,45,58.7,True
296,Work Permit,UK,Decision,100,71,Normal,Medium,3,6,1,12,45,52.5,True
297,Work Permit,DE,Decision,119,32,Normal,Medium,3,1,0,7,45,54.7,True
298,Visa Renewal,US,Government Review,100,53,Normal,Low,6,18,1,28,30,81.7,True
299,Work Permit,US,Decision,102,124,Normal,Low,6,27,0,26,45,80.0,True
300,Visa Renewal,AU,Government Review,117,86,Normal,Medium,0,26,0,7,30,71.6,True
301,Relocation,US,Closure,109,23,Normal,High,4,17,2,3,35,59.0,True
302,Relocation,US,Decision,102,63,Normal,Medium,1,25,1,13,35,63.7,True
303,Visa Renewal,UK,Decision,107,34,Normal,Medium,3,10,1,41,30,76.2,True
304,Tax,CA,Government Review,113,103,Normal,Low,6,16,1,11,21,70.9,True
305,Work Permit,AU,Documentation,117,27,Normal,Low,6,2,1,39,45,62.6,True
306,Relocation,US,Intake,114,24,Normal,Medium,0,19,1,23,35,55.3,True
307,Work Permit,US,Closure,101,85,Normal,Low,4,11,3,1,45,57.7,True
308,Work Permit,CA,Government Review,109,111,Normal,High,6,24,1,34,45,111.0,True
309,Relocation,UK,Documentation,101,105,Urgent,Medium,2,27,0,31,28,70.6,True
310,Relocation,CA,Intake,116,92,Normal,Medium,3,1,0,33,35,55.4,True
311,Tax,CA,Decision,107,111,Urgent,Medium,4,24,0,36,14,81.2,True
312,Relocation,AU,Decision,100,65,Urgent,Medium,2,0,1,36,28,55.7,True
313,Payroll,AU,Decision,108,84,Normal,Medium,6,8,1,14,14,66.2,True
314,Work Permit,US,Government Review,110,119,Normal,High,5,21,2,37,45,106.9,True
315,Work Permit,CA,Submission,115,125,Normal,High,6,23,1,32,45,97.7,True
316,Work Permit,CA,Documentation,106,85,Normal,High,2,18,0,28,45,75.5,True
317,Work Permit,AU,Intake,109,121,Urgent,Medium,6,7,2,1,38,66.8,True
318,Relocation,AU,Decision,102,45,Urgent,Medium,0,26,5,7,28,82.1,True
319,PR Application,US,Intake,117,50,Normal,Medium,1,8,3,16,90,60.2,False
320,Work Permit,UK,Government Review,112,70,Normal,Low,3,6,1,32,45,70.2,True
321,Payroll,CA,Government Review,106,60,Urgent,Low,4,3,2,24,7,58.4,True
322,Tax,US,Government Review,103,70,Normal,Low,5,21,2,14,21,71.2,True
323,Visa Renewal,US,Closure,112,38,Urgent,Low,5,15,4,15,23,66.6,True
324,Work Permit,CA,Intake,119,114,Normal,Low,2,5,2,1,45,41.2,False
325,Work Permit,CA,Decision,100,92,Normal,Low,5,17,3,28,45,83.6,True
326,Work Permit,US,Intake,107,22,Normal,High,1,1,0,19,45,39.4,False
327,Work Permit,UK,Intake,113,57,Normal,Medium,2,10,2,7,45,48.2,True
