office_id,office_load,documents_missing,client_response_delay_days,reassignment_count,days_in_stage,sla_target_days,total_processing_days,sla_breach,docs_per_sla,client_delay_per_sla,load_x_reassign,stage_time_ratio,is_urgent,case_type_Payroll,case_type_Relocation,case_type_Tax,case_type_Visa Renewal,case_type_Work Permit,country_CA,country_DE,country_UK,country_US,processing_stage_Decision,processing_stage_Documentation,processing_stage_Government Review,processing_stage_Intake,processing_stage_Submission,priority_Urgent,document_complexity_Low,document_complexity_Medium,missing_docs_bucket_1-2,missing_docs_bucket_3-4,missing_docs_bucket_5+,office_load_bucket_mid,office_load_bucket_high,office_load_bucket_very_high,client_delay_bucket_1-7,client_delay_bucket_8-14,client_delay_bucket_15-30,client_delay_bucket_30+
113,36,2,17,1,29,35,58.8,1,0.05714285714285714,0.4857142857142857,72,0.8285714285714286,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False
117,28,2,24,2,23,35,78.0,1,0.05714285714285714,0.6857142857142857,84,0.6571428571428571,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
108,110,6,8,3,17,35,82.1,1,0.17142857142857143,0.22857142857142856,440,0.4857142857142857,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
101,74,5,12,2,21,45,71.7,1,0.1111111111111111,0.26666666666666666,222,0.4666666666666667,0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False
119,25,4,28,1,10,45,94.1,1,0.08888888888888889,0.6222222222222222,50,0.2222222222222222,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
114,89,3,29,1,43,90,97.2,1,0.03333333333333333,0.32222222222222224,178,0.4777777777777778,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
106,83,2,14,1,8,30,45.8,1,0.06666666666666667,0.4666666666666667,166,0.26666666666666666,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
111,23,2,18,0,14,14,55.6,1,0.14285714285714285,1.2857142857142858,23,1.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
107,126,1,14,2,31,35,65.4,1,0.02857142857142857,0.4,378,0.8857142857142857,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False
114,86,2,6,1,18,45,64.2,1,0.044444444444444446,0.13333333333333333,172,0.4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
102,107,1,2,1,30,14,42.7,1,0.07142857142857142,0.14285714285714285,214,2.142857142857143,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False
113,75,3,23,3,18,30,86.1,1,0.1,0.7666666666666667,300,0.6,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
116,37,3,7,1,25,35,56.0,1,0.08571428571428572,0.2,74,0.7142857142857143,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False
103,51,3,12,4,37,21,96.3,1,0.14285714285714285,0.5714285714285714,255,1.7619047619047619,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
117,104,1,15,2,25,7,64.1,1,0.14285714285714285,2.142857142857143,312,3.5714285714285716,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False
107,67,5,2,2,30,14,72.2,1,0.35714285714285715,0.14285714285714285,201,2.142857142857143,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False
103,48,5,20,1,30,90,101.8,1,0.05555555555555555,0.2222222222222222,96,0.3333333333333333,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
101,51,6,30,0,36,83,112.3,1,0.07228915662650602,0.3614457831325301,51,0.43373493975903615,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False
105,44,4,22,1,11,14,46.2,1,0.2857142857142857,1.5714285714285714,88,0.7857142857142857,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
109,95,6,0,1,39,23,79.0,1,0.2608695652173913,0.0,190,1.6956521739130435,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
103,129,4,2,1,27,45,60.4,1,0.08888888888888889,0.044444444444444446,258,0.6,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
117,82,6,15,1,16,30,59.1,1,0.2,0.5,164,0.5333333333333333,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
111,28,5,0,2,38,45,77.3,1,0.1111111111111111,0.0,84,0.8444444444444444,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
101,90,6,17,5,32,90,106.1,1,0.06666666666666667,0.18888888888888888,540,0.35555555555555557,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
109,33,5,13,0,29,90,78.6,0,0.05555555555555555,0.14444444444444443,33,0.32222222222222224,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
103,39,2,29,1,10,90,88.5,0,0.022222222222222223,0.32222222222222224,78,0.1111111111111111,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
113,103,3,6,3,30,45,70.8,1,0.06666666666666667,0.13333333333333333,412,0.6666666666666666,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False
115,29,5,22,3,11,21,90.2,1,0.23809523809523808,1.0476190476190477,116,0.5238095238095238,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
114,30,0,2,0,15,30,30.1,1,0.0,0.06666666666666667,30,0.5,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
107,58,5,30,2,44,83,122.6,1,0.060240963855421686,0.3614457831325301,174,0.5301204819277109,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False
113,38,2,28,1,23,28,85.3,1,0.07142857142857142,1.0,76,0.8214285714285714,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False
107,38,5,21,1,23,23,78.4,1,0.21739130434782608,0.9130434782608695,76,1.0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
115,62,4,15,0,7,45,83.9,1,0.08888888888888889,0.3333333333333333,62,0.15555555555555556,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
112,80,4,28,5,14,45,105.3,1,0.08888888888888889,0.6222222222222222,480,0.3111111111111111,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
117,89,6,5,2,9,21,57.3,1,0.2857142857142857,0.23809523809523808,267,0.42857142857142855,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
114,91,3,17,1,28,14,78.9,1,0.21428571428571427,1.2142857142857142,182,2.0,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
112,84,1,28,3,6,90,97.4,1,0.011111111111111112,0.3111111111111111,336,0.06666666666666667,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
108,42,2,24,1,43,45,89.5,1,0.044444444444444446,0.5333333333333333,84,0.9555555555555556,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
114,123,1,12,2,45,28,75.9,1,0.03571428571428571,0.42857142857142855,369,1.6071428571428572,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
112,120,4,23,2,22,21,65.4,1,0.19047619047619047,1.0952380952380953,360,1.0476190476190477,0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
100,79,6,1,0,18,14,46.1,1,0.42857142857142855,0.07142857142857142,79,1.2857142857142858,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False
106,29,3,11,2,44,45,82.6,1,0.06666666666666667,0.24444444444444444,87,0.9777777777777777,0,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
108,82,4,3,0,38,45,62.8,1,0.08888888888888889,0.06666666666666667,82,0.8444444444444444,0,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
100,21,3,8,1,22,21,41.0,1,0.14285714285714285,0.38095238095238093,42,1.0476190476190477,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False
111,55,5,19,2,9,30,72.5,1,0.16666666666666666,0.6333333333333333,165,0.3,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
107,76,0,22,3,18,23,72.6,1,0.0,0.9565217391304348,304,0.782608695652174,1,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
110,85,1,4,2,21,45,54.8,1,0.022222222222222223,0.08888888888888889,255,0.4666666666666667,0,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
118,98,2,9,0,15,35,60.8,1,0.05714285714285714,0.2571428571428571,98,0.42857142857142855,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False
116,39,3,5,5,9,21,61.6,1,0.14285714285714285,0.23809523809523808,234,0.42857142857142855,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
107,61,5,0,1,42,14,75.9,1,0.35714285714285715,0.0,122,3.0,0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
102,40,5,19,0,2,35,52.2,1,0.14285714285714285,0.5428571428571428,40,0.05714285714285714,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
102,113,6,4,0,14,35,59.2,1,0.17142857142857143,0.11428571428571428,113,0.4,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False
100,107,6,5,3,21,45,77.2,1,0.13333333333333333,0.1111111111111111,428,0.4666666666666667,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False
104,85,0,21,3,43,35,103.0,1,0.0,0.6,340,1.2285714285714286,0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
109,57,5,20,1,45,30,71.4,1,0.16666666666666666,0.6666666666666666,114,1.5,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
106,105,5,18,0,34,83,83.8,1,0.060240963855421686,0.21686746987951808,105,0.40963855421686746,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False
108,112,0,10,1,7,23,42.7,1,0.0,0.43478260869565216,224,0.30434782608695654,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False
106,97,1,14,4,15,30,83.9,1,0.03333333333333333,0.4666666666666667,485,0.5,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
108,88,5,1,1,39,45,72.5,1,0.1111111111111111,0.022222222222222223,176,0.8666666666666667,0,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
107,43,3,14,1,12,30,69.0,1,0.1,0.4666666666666667,86,0.4,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
111,45,2,6,2,7,38,50.7,1,0.05263157894736842,0.15789473684210525,135,0.18421052631578946,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False
101,21,2,16,1,5,45,63.7,1,0.044444444444444446,0.35555555555555557,42,0.1111111111111111,0,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
100,65,2,11,2,39,7,59.5,1,0.2857142857142857,1.5714285714285714,195,5.571428571428571,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False
115,128,4,11,0,23,35,67.2,1,0.11428571428571428,0.3142857142857143,128,0.6571428571428571,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
104,53,6,4,1,28,35,74.1,1,0.17142857142857143,0.11428571428571428,106,0.8,0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
102,81,4,19,2,34,21,77.5,1,0.19047619047619047,0.9047619047619048,243,1.619047619047619,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
111,106,3,6,2,25,14,67.9,1,0.21428571428571427,0.42857142857142855,318,1.7857142857142858,0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
107,60,6,1,0,2,90,60.6,0,0.06666666666666667,0.011111111111111112,60,0.022222222222222223,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
102,118,5,26,2,9,21,103.7,1,0.23809523809523808,1.2380952380952381,354,0.42857142857142855,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
100,34,5,12,1,34,30,69.8,1,0.16666666666666666,0.4,68,1.1333333333333333,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
102,74,6,23,2,32,30,89.3,1,0.2,0.7666666666666667,222,1.0666666666666667,0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
104,22,2,8,0,12,28,29.8,1,0.07142857142857142,0.2857142857142857,22,0.42857142857142855,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
114,95,0,28,2,19,90,93.5,1,0.0,0.3111111111111111,285,0.2111111111111111,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
113,57,5,14,1,38,14,68.8,1,0.35714285714285715,1.0,114,2.7142857142857144,1,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False
102,70,2,27,0,10,23,54.7,1,0.08695652173913043,1.173913043478261,70,0.43478260869565216,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False
100,36,3,25,3,10,38,83.4,1,0.07894736842105263,0.6578947368421053,144,0.2631578947368421,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
104,121,2,14,2,35,90,92.3,1,0.022222222222222223,0.15555555555555556,363,0.3888888888888889,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
113,110,1,0,2,41,38,41.4,1,0.02631578947368421,0.0,330,1.0789473684210527,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False
106,102,2,20,3,37,35,80.5,1,0.05714285714285714,0.5714285714285714,408,1.0571428571428572,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False
108,68,5,19,1,32,21,82.9,1,0.23809523809523808,0.9047619047619048,136,1.5238095238095237,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
114,40,6,20,2,7,21,84.0,1,0.2857142857142857,0.9523809523809523,120,0.3333333333333333,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
114,123,5,24,0,10,21,77.3,1,0.23809523809523808,1.1428571428571428,123,0.47619047619047616,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
109,107,0,30,0,43,14,74.0,1,0.0,2.142857142857143,107,3.0714285714285716,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False
112,43,3,27,1,38,35,74.0,1,0.08571428571428572,0.7714285714285715,86,1.0857142857142856,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
118,102,6,2,2,27,21,61.1,1,0.2857142857142857,0.09523809523809523,306,1.2857142857142858,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
106,114,6,29,0,32,90,100.5,1,0.06666666666666667,0.32222222222222224,114,0.35555555555555557,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
116,59,6,0,1,7,38,47.0,1,0.15789473684210525,0.0,118,0.18421052631578946,1,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False
119,39,3,26,0,26,45,80.6,1,0.06666666666666667,0.5777777777777777,39,0.5777777777777777,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
103,98,0,18,1,22,30,66.3,1,0.0,0.6,196,0.7333333333333333,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
104,123,3,19,1,12,35,67.7,1,0.08571428571428572,0.5428571428571428,246,0.34285714285714286,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
106,54,2,12,1,24,90,94.5,1,0.022222222222222223,0.13333333333333333,108,0.26666666666666666,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
112,67,3,14,1,29,21,60.6,1,0.14285714285714285,0.6666666666666666,134,1.380952380952381,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False
114,118,2,12,2,32,45,70.8,1,0.044444444444444446,0.26666666666666666,354,0.7111111111111111,0,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
